image,set
ISIC_0063349,train
ISIC_0007557_downsampled,train
ISIC_0068845,train
ISIC_0030345,train
ISIC_0070404,train
ISIC_0030267,train
ISIC_0031092,train
ISIC_0067386,train
ISIC_0056731,train
ISIC_0026400,train
ISIC_0062050,train
ISIC_0068736,train
ISIC_0032575,train
ISIC_0061491,train
ISIC_0055450,train
ISIC_0059547,train
ISIC_0032248,train
ISIC_0058087,train
ISIC_0025425,train
ISIC_0013984_downsampled,train
ISIC_0057463,train
ISIC_0031352,train
ISIC_0067539,train
ISIC_0058691,train
ISIC_0030705,train
ISIC_0066709,train
ISIC_0026261,train
ISIC_0025932,train
ISIC_0015372_downsampled,train
ISIC_0054974,train
ISIC_0031457,train
ISIC_0029377,train
ISIC_0062148,train
ISIC_0027572,train
ISIC_0027648,train
ISIC_0033630,train
ISIC_0000522,train
ISIC_0055305,train
ISIC_0061516,train
ISIC_0068504,train
ISIC_0030849,train
ISIC_0070646,train
ISIC_0028449,train
ISIC_0033052,train
ISIC_0031480,train
ISIC_0061926,train
ISIC_0070204,train
ISIC_0069101,train
ISIC_0070113,train
ISIC_0029885,train
ISIC_0063318,train
ISIC_0028959,train
ISIC_0000466,train
ISIC_0056188,train
ISIC_0058670,train
ISIC_0028746,train
ISIC_0026274,train
ISIC_0027150,train
ISIC_0012400_downsampled,train
ISIC_0033368,train
ISIC_0033380,train
ISIC_0061386,train
ISIC_0060488,train
ISIC_0055591,train
ISIC_0064586,train
ISIC_0029652,train
ISIC_0009960,train
ISIC_0032650,train
ISIC_0031855,train
ISIC_0015945_downsampled,train
ISIC_0053915,train
ISIC_0000013,train
ISIC_0058443,train
ISIC_0010236,train
ISIC_0026810,train
ISIC_0034078,train
ISIC_0054480,train
ISIC_0024469,train
ISIC_0025996,train
ISIC_0032214,train
ISIC_0026692,train
ISIC_0070953,train
ISIC_0060978,train
ISIC_0028985,train
ISIC_0032754,train
ISIC_0065371,train
ISIC_0072078,train
ISIC_0071391,train
ISIC_0024525,train
ISIC_0024610,train
ISIC_0053532,train
ISIC_0070907,train
ISIC_0072361,train
ISIC_0062679,train
ISIC_0057863,train
ISIC_0027432,train
ISIC_0060203,train
ISIC_0061680,train
ISIC_0057845,train
ISIC_0070722,train
ISIC_0066755,train
ISIC_0070237,train
ISIC_0065006,train
ISIC_0030636,train
ISIC_0026341,train
ISIC_0000250,train
ISIC_0054385,train
ISIC_0024323,train
ISIC_0026311,train
ISIC_0066998,train
ISIC_0068106,train
ISIC_0060086,train
ISIC_0066754,train
ISIC_0034148,train
ISIC_0031760,train
ISIC_0061269,train
ISIC_0066149,train
ISIC_0065963,train
ISIC_0031558,train
ISIC_0056240,train
ISIC_0026264,train
ISIC_0013054_downsampled,train
ISIC_0000175,train
ISIC_0031368,train
ISIC_0025288,train
ISIC_0062168,train
ISIC_0033670,train
ISIC_0060219,train
ISIC_0028745,train
ISIC_0033752,train
ISIC_0060310,train
ISIC_0060700,train
ISIC_0055044,train
ISIC_0064418,train
ISIC_0028852,train
ISIC_0054107,train
ISIC_0058394,train
ISIC_0033399,train
ISIC_0025950,train
ISIC_0033392,train
ISIC_0033471,train
ISIC_0032991,train
ISIC_0063111,train
ISIC_0066860,train
ISIC_0032189,train
ISIC_0069163,train
ISIC_0027600,train
ISIC_0062201,train
ISIC_0071445,train
ISIC_0026362,train
ISIC_0028340,train
ISIC_0067479,train
ISIC_0030569,train
ISIC_0030744,train
ISIC_0058464,train
ISIC_0054298,train
ISIC_0024398,train
ISIC_0027823,train
ISIC_0070935,train
ISIC_0063346,train
ISIC_0029896,train
ISIC_0054555,train
ISIC_0061967,train
ISIC_0060366,train
ISIC_0029971,train
ISIC_0068611,train
ISIC_0069995,train
ISIC_0029662,train
ISIC_0068141,train
ISIC_0061649,train
ISIC_0055109,train
ISIC_0029636,train
ISIC_0069767,train
ISIC_0065259,train
ISIC_0015937_downsampled,train
ISIC_0063811,train
ISIC_0063960,train
ISIC_0033220,train
ISIC_0029449,train
ISIC_0057687,train
ISIC_0056085,train
ISIC_0063849,train
ISIC_0028298,train
ISIC_0014839_downsampled,train
ISIC_0064292,train
ISIC_0069225,train
ISIC_0070392,train
ISIC_0013634_downsampled,train
ISIC_0057516,train
ISIC_0004309_downsampled,train
ISIC_0058951,train
ISIC_0059626,train
ISIC_0056102,train
ISIC_0010249,train
ISIC_0031623,train
ISIC_0031712,train
ISIC_0028369,train
ISIC_0026748,train
ISIC_0067234,train
ISIC_0068640,train
ISIC_0015544_downsampled,train
ISIC_0058733,train
ISIC_0033182,train
ISIC_0060154,train
ISIC_0026312,train
ISIC_0033480,train
ISIC_0010231,train
ISIC_0031052,train
ISIC_0066635,train
ISIC_0071430,train
ISIC_0026562,train
ISIC_0010265,train
ISIC_0070995,train
ISIC_0029622,train
ISIC_0033648,train
ISIC_0053555,train
ISIC_0066258,train
ISIC_0013861_downsampled,train
ISIC_0031777,train
ISIC_0054843,train
ISIC_0073091,train
ISIC_0008507_downsampled,train
ISIC_0013967_downsampled,train
ISIC_0059598,train
ISIC_0062395,train
ISIC_0002093_downsampled,train
ISIC_0033861,train
ISIC_0026490,train
ISIC_0073036,train
ISIC_0060345,train
ISIC_0060137,train
ISIC_0057236,train
ISIC_0054378,train
ISIC_0060440,train
ISIC_0068160,train
ISIC_0066094,train
ISIC_0062889,train
ISIC_0055003,train
ISIC_0057038,train
ISIC_0060148,train
ISIC_0012206_downsampled,train
ISIC_0053817,train
ISIC_0025421,train
ISIC_0033855,train
ISIC_0059565,train
ISIC_0065962,train
ISIC_0055248,train
ISIC_0061167,train
ISIC_0030357,train
ISIC_0026097,train
ISIC_0071821,train
ISIC_0062626,train
ISIC_0028170,train
ISIC_0057953,train
ISIC_0070505,train
ISIC_0013674_downsampled,train
ISIC_0056956,train
ISIC_0033891,train
ISIC_0033039,train
ISIC_0061005,train
ISIC_0069565,train
ISIC_0064930,train
ISIC_0013796_downsampled,train
ISIC_0029465,train
ISIC_0062215,train
ISIC_0000533,train
ISIC_0057815,train
ISIC_0072368,train
ISIC_0057092,train
ISIC_0071989,train
ISIC_0024307,train
ISIC_0064122,train
ISIC_0033502,train
ISIC_0013908_downsampled,train
ISIC_0027282,train
ISIC_0030405,train
ISIC_0031575,train
ISIC_0029354,train
ISIC_0029632,train
ISIC_0059846,train
ISIC_0058926,train
ISIC_0069684,train
ISIC_0056000,train
ISIC_0027681,train
ISIC_0013456_downsampled,train
ISIC_0059405,train
ISIC_0015985_downsampled,train
ISIC_0056176,train
ISIC_0059032,train
ISIC_0031166,train
ISIC_0024806,train
ISIC_0065314,train
ISIC_0054108,train
ISIC_0027892,train
ISIC_0032986,train
ISIC_0026434,train
ISIC_0059393,train
ISIC_0060392,train
ISIC_0059429,train
ISIC_0063227,train
ISIC_0065201,train
ISIC_0070963,train
ISIC_0030467,train
ISIC_0030483,train
ISIC_0069669,train
ISIC_0070532,train
ISIC_0072353,train
ISIC_0060930,train
ISIC_0011156,train
ISIC_0032955,train
ISIC_0070236,train
ISIC_0032268,train
ISIC_0015244_downsampled,train
ISIC_0070068,train
ISIC_0030818,train
ISIC_0015211_downsampled,train
ISIC_0025575,train
ISIC_0058810,train
ISIC_0027590,train
ISIC_0026671,train
ISIC_0069162,train
ISIC_0033655,train
ISIC_0015003_downsampled,train
ISIC_0065498,train
ISIC_0058974,train
ISIC_0071425,train
ISIC_0026903,train
ISIC_0066932,train
ISIC_0065805,train
ISIC_0067818,train
ISIC_0025206,train
ISIC_0055234,train
ISIC_0031233,train
ISIC_0053759,train
ISIC_0069732,train
ISIC_0067096,train
ISIC_0072693,train
ISIC_0059094,train
ISIC_0072676,train
ISIC_0030138,train
ISIC_0033628,train
ISIC_0000548,train
ISIC_0065701,train
ISIC_0059298,train
ISIC_0064918,train
ISIC_0029329,train
ISIC_0032437,train
ISIC_0027722,train
ISIC_0054543,train
ISIC_0033363,train
ISIC_0059207,train
ISIC_0033044,train
ISIC_0068176,train
ISIC_0061911,train
ISIC_0072991,train
ISIC_0000157,train
ISIC_0014987_downsampled,train
ISIC_0031887,train
ISIC_0015961_downsampled,train
ISIC_0068010,train
ISIC_0031859,train
ISIC_0067757,train
ISIC_0069370,train
ISIC_0059730,train
ISIC_0062989,train
ISIC_0057391,train
ISIC_0062863,train
ISIC_0062591,train
ISIC_0024807,train
ISIC_0060168,train
ISIC_0071196,train
ISIC_0033681,train
ISIC_0030968,train
ISIC_0028884,train
ISIC_0033898,train
ISIC_0024759,train
ISIC_0028437,train
ISIC_0014940_downsampled,train
ISIC_0056525,train
ISIC_0014045_downsampled,train
ISIC_0064279,train
ISIC_0032347,train
ISIC_0065361,train
ISIC_0033385,train
ISIC_0029413,train
ISIC_0068090,train
ISIC_0024767,train
ISIC_0026232,train
ISIC_0032365,train
ISIC_0055135,train
ISIC_0030898,train
ISIC_0032116,train
ISIC_0069235,train
ISIC_0000313,train
ISIC_0024503,train
ISIC_0030563,train
ISIC_0054963,train
ISIC_0027903,train
ISIC_0025907,train
ISIC_0059376,train
ISIC_0068225,train
ISIC_0029615,train
ISIC_0071506,train
ISIC_0058142,train
ISIC_0014938_downsampled,train
ISIC_0030518,train
ISIC_0013044_downsampled,train
ISIC_0026281,train
ISIC_0059082,train
ISIC_0031629,train
ISIC_0033277,train
ISIC_0068583,train
ISIC_0054243,train
ISIC_0027026,train
ISIC_0028608,train
ISIC_0058976,train
ISIC_0016053_downsampled,train
ISIC_0025877,train
ISIC_0066441,train
ISIC_0029450,train
ISIC_0058478,train
ISIC_0061715,train
ISIC_0026098,train
ISIC_0072446,train
ISIC_0026304,train
ISIC_0062124,train
ISIC_0000207_downsampled,train
ISIC_0013486_downsampled,train
ISIC_0068812,train
ISIC_0069446,train
ISIC_0010262,train
ISIC_0031832,train
ISIC_0068538,train
ISIC_0033554,train
ISIC_0065785,train
ISIC_0054219,train
ISIC_0062165,train
ISIC_0069964,train
ISIC_0063533,train
ISIC_0070719,train
ISIC_0014148_downsampled,train
ISIC_0031040,train
ISIC_0033479,train
ISIC_0067607,train
ISIC_0027379,train
ISIC_0065180,train
ISIC_0027704,train
ISIC_0030485,train
ISIC_0060452,train
ISIC_0067362,train
ISIC_0068079,train
ISIC_0028264,train
ISIC_0028708,train
ISIC_0072515,train
ISIC_0072025,train
ISIC_0068987,train
ISIC_0066660,train
ISIC_0061833,train
ISIC_0032840,train
ISIC_0058202,train
ISIC_0063201,train
ISIC_0025663,train
ISIC_0027706,train
ISIC_0025190,train
ISIC_0069554,train
ISIC_0024890,train
ISIC_0054085,train
ISIC_0071208,train
ISIC_0029308,train
ISIC_0032707,train
ISIC_0057057,train
ISIC_0033735,train
ISIC_0071393,train
ISIC_0010233,train
ISIC_0014653_downsampled,train
ISIC_0057199,train
ISIC_0061692,train
ISIC_0013319_downsampled,train
ISIC_0030939,train
ISIC_0062677,train
ISIC_0027794,train
ISIC_0059148,train
ISIC_0030278,train
ISIC_0029217,train
ISIC_0055927,train
ISIC_0030022,train
ISIC_0030188,train
ISIC_0065141,train
ISIC_0054006,train
ISIC_0060487,train
ISIC_0061212,train
ISIC_0027475,train
ISIC_0062688,train
ISIC_0033592,train
ISIC_0026013,train
ISIC_0062163,train
ISIC_0024360,train
ISIC_0056796,train
ISIC_0014946_downsampled,train
ISIC_0030813,train
ISIC_0031098,train
ISIC_0028701,train
ISIC_0070676,train
ISIC_0067195,train
ISIC_0033169,train
ISIC_0033892,train
ISIC_0072893,train
ISIC_0013063_downsampled,train
ISIC_0057028,train
ISIC_0028988,train
ISIC_0031656,train
ISIC_0031452,train
ISIC_0072661,train
ISIC_0026689,train
ISIC_0025947,train
ISIC_0013094_downsampled,train
ISIC_0055297,train
ISIC_0030869,train
ISIC_0062243,train
ISIC_0012177_downsampled,train
ISIC_0033395,train
ISIC_0066328,train
ISIC_0030947,train
ISIC_0067964,train
ISIC_0033713,train
ISIC_0013561_downsampled,train
ISIC_0025860,train
ISIC_0067097,train
ISIC_0054694,train
ISIC_0062298,train
ISIC_0012889_downsampled,train
ISIC_0059438,train
ISIC_0056019,train
ISIC_0068552,train
ISIC_0069882,train
ISIC_0000067,train
ISIC_0032283,train
ISIC_0028890,train
ISIC_0056763,train
ISIC_0033523,train
ISIC_0029168,train
ISIC_0068100,train
ISIC_0014665_downsampled,train
ISIC_0072556,train
ISIC_0065917,train
ISIC_0000007,train
ISIC_0032917,train
ISIC_0026181,train
ISIC_0062036,train
ISIC_0031117,train
ISIC_0001213_downsampled,train
ISIC_0057503,train
ISIC_0024409,train
ISIC_0072666,train
ISIC_0014144_downsampled,train
ISIC_0026345,train
ISIC_0069695,train
ISIC_0031769,train
ISIC_0072286,train
ISIC_0069920,train
ISIC_0027908,train
ISIC_0029095,train
ISIC_0016042_downsampled,train
ISIC_0031155,train
ISIC_0055205,train
ISIC_0069857,train
ISIC_0031410,train
ISIC_0009504_downsampled,train
ISIC_0030918,train
ISIC_0056036,train
ISIC_0012685_downsampled,train
ISIC_0029440,train
ISIC_0031475,train
ISIC_0026284,train
ISIC_0033727,train
ISIC_0010461,train
ISIC_0032516,train
ISIC_0026813,train
ISIC_0014478_downsampled,train
ISIC_0024874,train
ISIC_0033153,train
ISIC_0062721,train
ISIC_0025384,train
ISIC_0030433,train
ISIC_0072632,train
ISIC_0026942,train
ISIC_0027440,train
ISIC_0014385_downsampled,train
ISIC_0057047,train
ISIC_0034079,train
ISIC_0056747,train
ISIC_0014609_downsampled,train
ISIC_0056042,train
ISIC_0000256,train
ISIC_0026124,train
ISIC_0026338,train
ISIC_0062138,train
ISIC_0013621_downsampled,train
ISIC_0067273,train
ISIC_0065964,train
ISIC_0072380,train
ISIC_0033437,train
ISIC_0059804,train
ISIC_0032348,train
ISIC_0064494,train
ISIC_0055473,train
ISIC_0068115,train
ISIC_0028145,train
ISIC_0009889,train
ISIC_0070923,train
ISIC_0060535,train
ISIC_0058267,train
ISIC_0027399,train
ISIC_0027985,train
ISIC_0060529,train
ISIC_0069460,train
ISIC_0031369,train
ISIC_0066379,train
ISIC_0025630,train
ISIC_0069378,train
ISIC_0013085_downsampled,train
ISIC_0032096,train
ISIC_0056607,train
ISIC_0026203,train
ISIC_0024789,train
ISIC_0060215,train
ISIC_0060131,train
ISIC_0031594,train
ISIC_0028915,train
ISIC_0031531,train
ISIC_0025747,train
ISIC_0065772,train
ISIC_0061470,train
ISIC_0000390_downsampled,train
ISIC_0072775,train
ISIC_0057919,train
ISIC_0054055,train
ISIC_0028797,train
ISIC_0057275,train
ISIC_0013178_downsampled,train
ISIC_0072641,train
ISIC_0058778,train
ISIC_0060912,train
ISIC_0055395,train
ISIC_0060358,train
ISIC_0025710,train
ISIC_0024344,train
ISIC_0062113,train
ISIC_0073198,train
ISIC_0033435,train
ISIC_0058825,train
ISIC_0029822,train
ISIC_0013053_downsampled,train
ISIC_0030861,train
ISIC_0033958,train
ISIC_0068383,train
ISIC_0024487,train
ISIC_0059285,train
ISIC_0063159,train
ISIC_0062623,train
ISIC_0031191,train
ISIC_0029143,train
ISIC_0070931,train
ISIC_0072522,train
ISIC_0063936,train
ISIC_0030094,train
ISIC_0057288,train
ISIC_0000337,train
ISIC_0062278,train
ISIC_0068395,train
ISIC_0066126,train
ISIC_0029328,train
ISIC_0012814_downsampled,train
ISIC_0067233,train
ISIC_0064096,train
ISIC_0030396,train
ISIC_0008207_downsampled,train
ISIC_0055812,train
ISIC_0071392,train
ISIC_0025462,train
ISIC_0065049,train
ISIC_0031599,train
ISIC_0058724,train
ISIC_0012435_downsampled,train
ISIC_0069848,train
ISIC_0024757,train
ISIC_0027609,train
ISIC_0015144_downsampled,train
ISIC_0033430,train
ISIC_0064141,train
ISIC_0001242_downsampled,train
ISIC_0012217_downsampled,train
ISIC_0033992,train
ISIC_0024340,train
ISIC_0027760,train
ISIC_0016025_downsampled,train
ISIC_0028839,train
ISIC_0031684,train
ISIC_0032655,train
ISIC_0061637,train
ISIC_0025391,train
ISIC_0055819,train
ISIC_0069292,train
ISIC_0060973,train
ISIC_0000021_downsampled,train
ISIC_0028881,train
ISIC_0028706,train
ISIC_0062078,train
ISIC_0014930_downsampled,train
ISIC_0056164,train
ISIC_0012417_downsampled,train
ISIC_0012459_downsampled,train
ISIC_0057004,train
ISIC_0061792,train
ISIC_0060844,train
ISIC_0033353,train
ISIC_0053791,train
ISIC_0029612,train
ISIC_0031484,train
ISIC_0064041,train
ISIC_0033492,train
ISIC_0033239,train
ISIC_0058497,train
ISIC_0056124,train
ISIC_0057380,train
ISIC_0057617,train
ISIC_0070862,train
ISIC_0030229,train
ISIC_0072228,train
ISIC_0057133,train
ISIC_0063585,train
ISIC_0053937,train
ISIC_0065448,train
ISIC_0030350,train
ISIC_0059192,train
ISIC_0026369,train
ISIC_0070421,train
ISIC_0062823,train
ISIC_0033737,train
ISIC_0071756,train
ISIC_0011083,train
ISIC_0032166,train
ISIC_0013432_downsampled,train
ISIC_0002806_downsampled,train
ISIC_0028303,train
ISIC_0030431,train
ISIC_0055141,train
ISIC_0032062,train
ISIC_0058803,train
ISIC_0025527,train
ISIC_0010463,train
ISIC_0060903,train
ISIC_0029950,train
ISIC_0025956,train
ISIC_0026054,train
ISIC_0033683,train
ISIC_0066308,train
ISIC_0029999,train
ISIC_0012136_downsampled,train
ISIC_0055367,train
ISIC_0031528,train
ISIC_0057044,train
ISIC_0059264,train
ISIC_0029390,train
ISIC_0027605,train
ISIC_0014753_downsampled,train
ISIC_0010263,train
ISIC_0063885,train
ISIC_0066634,train
ISIC_0061286,train
ISIC_0000403_downsampled,train
ISIC_0025047,train
ISIC_0030739,train
ISIC_0060949,train
ISIC_0025028,train
ISIC_0009954,train
ISIC_0026374,train
ISIC_0055474,train
ISIC_0067789,train
ISIC_0025707,train
ISIC_0032371,train
ISIC_0030256,train
ISIC_0025639,train
ISIC_0026603,train
ISIC_0025921,train
ISIC_0030871,train
ISIC_0028209,train
ISIC_0069608,train
ISIC_0062648,train
ISIC_0033890,train
ISIC_0024782,train
ISIC_0070381,train
ISIC_0068766,train
ISIC_0030995,train
ISIC_0067672,train
ISIC_0058429,train
ISIC_0068154,train
ISIC_0053545,train
ISIC_0024699,train
ISIC_0056829,train
ISIC_0057988,train
ISIC_0063453,train
ISIC_0024797,train
ISIC_0024924,train
ISIC_0026447,train
ISIC_0058722,train
ISIC_0032314,train
ISIC_0030736,train
ISIC_0063153,train
ISIC_0054532,train
ISIC_0058935,train
ISIC_0030686,train
ISIC_0025256,train
ISIC_0027244,train
ISIC_0028779,train
ISIC_0034048,train
ISIC_0029502,train
ISIC_0016071_downsampled,train
ISIC_0012976_downsampled,train
ISIC_0032869,train
ISIC_0065541,train
ISIC_0067689,train
ISIC_0054018,train
ISIC_0032948,train
ISIC_0001286_downsampled,train
ISIC_0061030,train
ISIC_0060781,train
ISIC_0029334,train
ISIC_0013896_downsampled,train
ISIC_0062807,train
ISIC_0032487,train
ISIC_0068877,train
ISIC_0057564,train
ISIC_0057916,train
ISIC_0056425,train
ISIC_0071718,train
ISIC_0058888,train
ISIC_0055099,train
ISIC_0015481_downsampled,train
ISIC_0025982,train
ISIC_0071170,train
ISIC_0029670,train
ISIC_0063735,train
ISIC_0053830,train
ISIC_0000434_downsampled,train
ISIC_0070976,train
ISIC_0000348,train
ISIC_0056072,train
ISIC_0034187,train
ISIC_0015216_downsampled,train
ISIC_0062712,train
ISIC_0027001,train
ISIC_0032316,train
ISIC_0057098,train
ISIC_0071806,train
ISIC_0060624,train
ISIC_0012961_downsampled,train
ISIC_0068137,train
ISIC_0062839,train
ISIC_0014631_downsampled,train
ISIC_0026514,train
ISIC_0068271,train
ISIC_0029944,train
ISIC_0015166_downsampled,train
ISIC_0025059,train
ISIC_0027453,train
ISIC_0024876,train
ISIC_0064075,train
ISIC_0072501,train
ISIC_0058990,train
ISIC_0033716,train
ISIC_0011343,train
ISIC_0058883,train
ISIC_0013945_downsampled,train
ISIC_0014962_downsampled,train
ISIC_0054536,train
ISIC_0033186,train
ISIC_0030181,train
ISIC_0067382,train
ISIC_0060709,train
ISIC_0071345,train
ISIC_0028135,train
ISIC_0029405,train
ISIC_0054244,train
ISIC_0032080,train
ISIC_0064654,train
ISIC_0010607,train
ISIC_0073011,train
ISIC_0066315,train
ISIC_0030031,train
ISIC_0025266,train
ISIC_0030975,train
ISIC_0071846,train
ISIC_0025419,train
ISIC_0033896,train
ISIC_0057903,train
ISIC_0034255,train
ISIC_0061700,train
ISIC_0032109,train
ISIC_0069003,train
ISIC_0069685,train
ISIC_0027986,train
ISIC_0070735,train
ISIC_0029834,train
ISIC_0000327,train
ISIC_0060505,train
ISIC_0010041,train
ISIC_0071485,train
ISIC_0069678,train
ISIC_0029685,train
ISIC_0029190,train
ISIC_0012450_downsampled,train
ISIC_0060157,train
ISIC_0068000,train
ISIC_0054104,train
ISIC_0033254,train
ISIC_0029198,train
ISIC_0054326,train
ISIC_0055375,train
ISIC_0009915,train
ISIC_0069490,train
ISIC_0026073,train
ISIC_0030156,train
ISIC_0024412,train
ISIC_0024370,train
ISIC_0064721,train
ISIC_0031332,train
ISIC_0056025,train
ISIC_0031564,train
ISIC_0069189,train
ISIC_0069464,train
ISIC_0071347,train
ISIC_0064012,train
ISIC_0027131,train
ISIC_0034082,train
ISIC_0034102,train
ISIC_0027155,train
ISIC_0026611,train
ISIC_0056631,train
ISIC_0030760,train
ISIC_0061067,train
ISIC_0070272,train
ISIC_0002871_downsampled,train
ISIC_0061379,train
ISIC_0011402,train
ISIC_0025657,train
ISIC_0025827,train
ISIC_0072795,train
ISIC_0055920,train
ISIC_0063327,train
ISIC_0068584,train
ISIC_0028962,train
ISIC_0028923,train
ISIC_0010365,train
ISIC_0032848,train
ISIC_0064224,train
ISIC_0013302_downsampled,train
ISIC_0069057,train
ISIC_0015476_downsampled,train
ISIC_0062026,train
ISIC_0056534,train
ISIC_0032229,train
ISIC_0024850,train
ISIC_0027356,train
ISIC_0033791,train
ISIC_0033458,train
ISIC_0059766,train
ISIC_0061797,train
ISIC_0033857,train
ISIC_0028572,train
ISIC_0063416,train
ISIC_0072737,train
ISIC_0058860,train
ISIC_0069533,train
ISIC_0025336,train
ISIC_0030936,train
ISIC_0057131,train
ISIC_0069371,train
ISIC_0067269,train
ISIC_0072055,train
ISIC_0013414_downsampled,train
ISIC_0032914,train
ISIC_0066426,train
ISIC_0058265,train
ISIC_0059722,train
ISIC_0070110,train
ISIC_0059835,train
ISIC_0059467,train
ISIC_0069124,train
ISIC_0072135,train
ISIC_0072635,train
ISIC_0070105,train
ISIC_0000549,train
ISIC_0011170,train
ISIC_0072926,train
ISIC_0068299,train
ISIC_0026293,train
ISIC_0026554,train
ISIC_0058971,train
ISIC_0000254,train
ISIC_0030788,train
ISIC_0033654,train
ISIC_0029877,train
ISIC_0060946,train
ISIC_0028788,train
ISIC_0027819,train
ISIC_0063560,train
ISIC_0033693,train
ISIC_0059738,train
ISIC_0062511,train
ISIC_0055006,train
ISIC_0013208_downsampled,train
ISIC_0026839,train
ISIC_0029375,train
ISIC_0029120,train
ISIC_0031716,train
ISIC_0030685,train
ISIC_0030992,train
ISIC_0011220,train
ISIC_0063085,train
ISIC_0013340_downsampled,train
ISIC_0025417,train
ISIC_0070092,train
ISIC_0062508,train
ISIC_0069917,train
ISIC_0031451,train
ISIC_0033729,train
ISIC_0027023,train
ISIC_0068858,train
ISIC_0028131,train
ISIC_0024314,train
ISIC_0054730,train
ISIC_0026354,train
ISIC_0033170,train
ISIC_0071180,train
ISIC_0032657,train
ISIC_0027030,train
ISIC_0071344,train
ISIC_0055614,train
ISIC_0014639_downsampled,train
ISIC_0024771,train
ISIC_0062875,train
ISIC_0066453,train
ISIC_0063906,train
ISIC_0069663,train
ISIC_0033559,train
ISIC_0010456,train
ISIC_0015443_downsampled,train
ISIC_0073110,train
ISIC_0031870,train
ISIC_0031219,train
ISIC_0059807,train
ISIC_0057104,train
ISIC_0025563,train
ISIC_0053870,train
ISIC_0055420,train
ISIC_0029126,train
ISIC_0070833,train
ISIC_0004110_downsampled,train
ISIC_0034231,train
ISIC_0027887,train
ISIC_0026011,train
ISIC_0032934,train
ISIC_0062548,train
ISIC_0062425,train
ISIC_0064744,train
ISIC_0031398,train
ISIC_0071108,train
ISIC_0070696,train
ISIC_0056938,train
ISIC_0031468,train
ISIC_0013942_downsampled,train
ISIC_0066671,train
ISIC_0026176,train
ISIC_0067513,train
ISIC_0065966,train
ISIC_0032549,train
ISIC_0000212,train
ISIC_0060504,train
ISIC_0031595,train
ISIC_0010171,train
ISIC_0033272,train
ISIC_0064545,train
ISIC_0059400,train
ISIC_0029090,train
ISIC_0069013,train
ISIC_0024980,train
ISIC_0026260,train
ISIC_0026819,train
ISIC_0031273,train
ISIC_0054368,train
ISIC_0070512,train
ISIC_0056917,train
ISIC_0070111,train
ISIC_0030779,train
ISIC_0059081,train
ISIC_0012702_downsampled,train
ISIC_0032652,train
ISIC_0066759,train
ISIC_0058040,train
ISIC_0014158_downsampled,train
ISIC_0012395_downsampled,train
ISIC_0057019,train
ISIC_0069955,train
ISIC_0030043,train
ISIC_0064685,train
ISIC_0025122,train
ISIC_0055214,train
ISIC_0067497,train
ISIC_0012364_downsampled,train
ISIC_0066917,train
ISIC_0000024_downsampled,train
